cenario,modo,arquivo,sucessos,falhas,total,taxa_erro,taxa_erro_pct
A,tcp,index.html,10,0,10,0.0,0.0
A,tcp,arquivo_100kb.bin,10,0,10,0.0,0.0
A,tcp,arquivo_1mb.bin,10,0,10,0.0,0.0
A,tcp,arquivo_10mb.bin,10,0,10,0.0,0.0
A,rudp,index.html,10,0,10,0.0,0.0
A,rudp,arquivo_100kb.bin,10,0,10,0.0,0.0
A,rudp,arquivo_1mb.bin,10,0,10,0.0,0.0
A,rudp,arquivo_10mb.bin,10,0,10,0.0,0.0
B,tcp,index.html,10,0,10,0.0,0.0
B,tcp,arquivo_100kb.bin,10,0,10,0.0,0.0
B,tcp,arquivo_1mb.bin,10,0,10,0.0,0.0
B,tcp,arquivo_10mb.bin,10,0,10,0.0,0.0
B,rudp,index.html,10,0,10,0.0,0.0
B,rudp,arquivo_100kb.bin,1,9,10,0.9,90.0
B,rudp,arquivo_1mb.bin,0,10,10,1.0,100.0
B,rudp,arquivo_10mb.bin,0,10,10,1.0,100.0
C,tcp,index.html,10,0,10,0.0,0.0
C,tcp,arquivo_100kb.bin,10,0,10,0.0,0.0
C,tcp,arquivo_1mb.bin,10,0,10,0.0,0.0
C,tcp,arquivo_10mb.bin,10,0,10,0.0,0.0
C,rudp,index.html,7,3,10,0.3,30.0
C,rudp,arquivo_100kb.bin,0,10,10,1.0,100.0
C,rudp,arquivo_1mb.bin,0,10,10,1.0,100.0
C,rudp,arquivo_10mb.bin,0,10,10,1.0,100.0
